rule type,value
domain,2mdn-cn.net
domain,2mdn.net
domain,admob-cn.com
domain,admob.com
domain,ads.youtube.com
domain,adsense.com
domain,adsensecustomsearchads.com
domain,adsenseformobileapps.com
domain,adservice.google.com
domain,adtrafficquality.google
domain,advertisercommunity.com
domain,advertiserscommunity.com
domain,adwords-community.com
domain,adwords.com
domain,adwordsexpress.com
domain,analytics-alv.google.com
domain,app-analytics-services.com
domain,app-analytics-services-att.com
domain,app-measurement-cn.com
domain,app-measurement.com
domain,doubleclick-cn.net
domain,doubleclick.cn
domain,doubleclick.com
domain,doubleclick.net
domain,fcmatch.google.com
domain,google-analytics-cn.com
domain,google-analytics.com
domain,googleadapis.com
domain,googleadapis.l.google.com
domain,googleads-cn.com
domain,googleads.com
domain,googleadservices-cn.com
domain,googleadservices.com
domain,googleadsserving.cn
domain,googleanalytics.com
domain,googleoptimize-cn.com
domain,googleoptimize.com
domain,googlesyndication-cn.com
domain,googlesyndication.com
domain,googletagmanager-cn.com
domain,googletagmanager.com
domain,googletagservices-cn.com
domain,googletagservices.com
domain,googletraveladservices-cn.com
domain,googletraveladservices.com
domain,googlevads-cn.com
domain,mail-ads.google.com
domain,mobileads.google.com
domain,marketingplatform.google.com
domain,pagead.l.google.com
domain,partnerad.l.google.com
domain,urchin.com
domain,analytics.google.com
domain_regex,^adservice\.google\.([a-z]{2}|com?)(\.[a-z]{2})?$
