rule type,value
domain,browser-intake-datadoghq.com
domain,chat.openai.com.cdn.cloudflare.net
domain,gemini.google.com
domain,openai-api.arkoselabs.com
domain,openaicom-api-bdcpf8c6d2e9atf6.z01.azurefd.net
domain,openaicomproductionae4b.blob.core.windows.net
domain,production-openaicom-storage.azureedge.net
domain,static.cloudflareinsights.com
domain_suffix,ai.com
domain_suffix,algolia.net
domain_suffix,api.statsig.com
domain_suffix,auth0.com
domain_suffix,chatgpt.com
domain_suffix,chatgpt.livekit.cloud
domain_suffix,client-api.arkoselabs.com
domain_suffix,events.statsigapi.net
domain_suffix,featuregates.org
domain_suffix,host.livekit.cloud
domain_suffix,identrust.com
domain_suffix,intercom.io
domain_suffix,intercomcdn.com
domain_suffix,launchdarkly.com
domain_suffix,oaistatic.com
domain_suffix,oaiusercontent.com
domain_suffix,observeit.net
domain_suffix,openai.com
domain_suffix,openaiapi-site.azureedge.net
domain_suffix,openaicom.imgix.net
domain_suffix,segment.io
domain_suffix,sentry.io
domain_suffix,stripe.com
domain_suffix,turn.livekit.cloud
domain_suffix,sora.com
domain_keyword,openai
domain,api.msn.com
domain,api.statsig.com
domain,assets.msn.com
domain,browser-intake-datadoghq.com
domain,chat.openai.com.cdn.cloudflare.net
domain,copilot.microsoft.com
domain,gateway.bingviz.microsoft.net
domain,gateway.bingviz.microsoftapp.net
domain,in.appcenter.ms
domain,location.microsoft.com
domain,odc.officeapps.live.com
domain,openai-api.arkoselabs.com
domain,openaicomproductionae4b.blob.core.windows.net
domain,production-openaicom-storage.azureedge.net
domain,r.bing.com
domain,self.events.data.microsoft.com
domain,services.bingapis.com
domain,static.cloudflareinsights.com
domain,sydney.bing.com
domain,www.bing.com
domain_suffix,algolia.net
domain_suffix,api.microsoftapp.net
domain_suffix,auth0.com
domain_suffix,bing-shopping.microsoft-falcon.io
domain_suffix,challenges.cloudflare.com
domain_suffix,chatgpt.com
domain_suffix,chatgpt.livekit.cloud
domain_suffix,client-api.arkoselabs.com
domain_suffix,edgeservices.bing.com
domain_suffix,events.statsigapi.net
domain_suffix,featuregates.org
domain_suffix,host.livekit.cloud
domain_suffix,identrust.com
domain_suffix,intercom.io
domain_suffix,intercomcdn.com
domain_suffix,launchdarkly.com
domain_suffix,oaistatic.com
domain_suffix,oaiusercontent.com
domain_suffix,observeit.net
domain_suffix,openai.com
domain_suffix,openaiapi-site.azureedge.net
domain_suffix,openaicom.imgix.net
domain_suffix,segment.io
domain_suffix,sentry.io
domain_suffix,stripe.com
domain_suffix,turn.livekit.cloud
domain_keyword,openaicom-api
domain,ai.google.dev
domain,alkalimakersuite-pa.clients6.google.com
domain,makersuite.google.com
domain_suffix,bard.google.com
domain_suffix,deepmind.com
domain_suffix,deepmind.google
domain_suffix,gemini.google.com
domain_suffix,generativeai.google
domain_suffix,proactivebackend-pa.googleapis.com
domain_suffix,apis.google.com
domain_keyword,colab
domain_keyword,developerprofiles
domain_keyword,generativelanguage
domain,cdn.usefathom.com
domain_suffix,anthropic.com
domain_suffix,claude.ai
domain_suffix,razie.ai
domain_suffix,razie.aws.intellij.net
domain_suffix,etbrains.ai
domain_suffix,meta.com
