rule type,value
domain_suffix,blogger.com
domain_suffix,blogblog.com
domain_suffix,blogspot.ae
domain_suffix,blogspot.al
domain_suffix,blogspot.am
domain_suffix,blogspot.ba
domain_suffix,blogspot.be
domain_suffix,blogspot.bg
domain_suffix,blogspot.bj
domain_suffix,blogspot.ca
domain_suffix,blogspot.cf
domain_suffix,blogspot.ch
domain_suffix,blogspot.cl
domain_suffix,blogspot.co.at
domain_suffix,blogspot.co.id
domain_suffix,blogspot.co.il
domain_suffix,blogspot.co.ke
domain_suffix,blogspot.co.nz
domain_suffix,blogspot.co.uk
domain_suffix,blogspot.co.za
domain_suffix,blogspot.com
domain_suffix,blogspot.com.ar
domain_suffix,blogspot.com.au
domain_suffix,blogspot.com.br
domain_suffix,blogspot.com.by
domain_suffix,blogspot.com.co
domain_suffix,blogspot.com.cy
domain_suffix,blogspot.com.ee
domain_suffix,blogspot.com.eg
domain_suffix,blogspot.com.es
domain_suffix,blogspot.com.mt
domain_suffix,blogspot.com.ng
domain_suffix,blogspot.com.tr
domain_suffix,blogspot.com.uy
domain_suffix,blogspot.cv
domain_suffix,blogspot.cz
domain_suffix,blogspot.de
domain_suffix,blogspot.dk
domain_suffix,blogspot.fi
domain_suffix,blogspot.fr
domain_suffix,blogspot.gr
domain_suffix,blogspot.hk
domain_suffix,blogspot.hr
domain_suffix,blogspot.hu
domain_suffix,blogspot.ie
domain_suffix,blogspot.in
domain_suffix,blogspot.is
domain_suffix,blogspot.it
domain_suffix,blogspot.jp
domain_suffix,blogspot.kr
domain_suffix,blogspot.li
domain_suffix,blogspot.lt
domain_suffix,blogspot.lu
domain_suffix,blogspot.md
domain_suffix,blogspot.mk
domain_suffix,blogspot.mx
domain_suffix,blogspot.my
domain_suffix,blogspot.nl
domain_suffix,blogspot.no
domain_suffix,blogspot.pe
domain_suffix,blogspot.pt
domain_suffix,blogspot.qa
domain_suffix,blogspot.re
domain_suffix,blogspot.ro
domain_suffix,blogspot.rs
domain_suffix,blogspot.ru
domain_suffix,blogspot.se
domain_suffix,blogspot.sg
domain_suffix,blogspot.si
domain_suffix,blogspot.sk
domain_suffix,blogspot.sn
domain_suffix,blogspot.td
domain_suffix,blogspot.tw
domain_suffix,blogspot.ug
domain_suffix,blogspot.vn
domain_suffix,blogger.googleusercontent.com
