rule type,value
domain_suffix,dis.gd
domain_suffix,discord.co
domain_suffix,discord.com
domain_suffix,discord.design
domain_suffix,discord.dev
domain_suffix,discord.gg
domain_suffix,discord.gift
domain_suffix,discord.gifts
domain_suffix,discord.media
domain_suffix,discord.new
domain_suffix,discord.store
domain_suffix,discord.tools
domain_suffix,discord-activities.com
domain_suffix,discordactivities.com
domain_suffix,discordapp.com
domain_suffix,discordapp.net
domain_suffix,discordmerch.com
domain_suffix,discordpartygames.com
domain_suffix,discordsays.com
domain_suffix,discordstatus.com
domain_suffix,airhorn.solutions
domain_suffix,airhornbot.com
domain_suffix,bigbeans.solutions
domain_suffix,watchanimeattheoffice.com
domain_suffix,discordapp.io
domain_suffix,discordcdn.com
domain_suffix,discord-attachments-uploads-prd.storage.googleapis.com
domain_suffix,hammerandchisel.ssl.zendesk.com
