rule type,value
domain_suffix,aboutfacebook.com
domain_suffix,accessfacebookfromschool.com
domain_suffix,acebooik.com
domain_suffix,acebook.com
domain_suffix,advancediddetection.com
domain_suffix,askfacebook.net
domain_suffix,askfacebook.org
domain_suffix,atdmt2.com
domain_suffix,atlasdmt.com
domain_suffix,atlasonepoint.com
domain_suffix,buyingfacebooklikes.com
domain_suffix,careersatfb.com
domain_suffix,celebgramme.com
domain_suffix,china-facebook.com
domain_suffix,click-url.com
domain_suffix,como-hackearfacebook.com
domain_suffix,crowdtangle.com
domain_suffix,dacebook.com
domain_suffix,dlfacebook.com
domain_suffix,dotfacebook.com
domain_suffix,dotfacebook.net
domain_suffix,expresswifi.com
domain_suffix,faacebok.com
domain_suffix,faacebook.com
domain_suffix,faasbook.com
domain_suffix,facbebook.com
domain_suffix,facbeok.com
domain_suffix,facboo.com
domain_suffix,facbook.com
domain_suffix,facbool.com
domain_suffix,facboox.com
domain_suffix,faccebook.com
domain_suffix,faccebookk.com
domain_suffix,facdbook.com
domain_suffix,facdebook.com
domain_suffix,face-book.com
domain_suffix,faceabook.com
domain_suffix,facebboc.com
domain_suffix,facebbook.com
domain_suffix,facebboook.com
domain_suffix,facebcook.com
domain_suffix,facebdok.com
domain_suffix,facebgook.com
domain_suffix,facebhook.com
domain_suffix,facebkkk.com
domain_suffix,facebo-ok.com
domain_suffix,faceboak.com
domain_suffix,facebock.com
domain_suffix,facebocke.com
domain_suffix,facebof.com
domain_suffix,faceboik.com
domain_suffix,facebok.com
domain_suffix,facebokbook.com
domain_suffix,facebokc.com
domain_suffix,facebokk.com
domain_suffix,facebokok.com
domain_suffix,faceboks.com
domain_suffix,facebol.com
domain_suffix,facebolk.com
domain_suffix,facebomok.com
domain_suffix,faceboo.com
domain_suffix,facebooa.com
domain_suffix,faceboob.com
domain_suffix,faceboobok.com
domain_suffix,facebooc.com
domain_suffix,faceboock.com
domain_suffix,facebood.com
domain_suffix,facebooe.com
domain_suffix,faceboof.com
domain_suffix,facebooi.com
domain_suffix,facebooik.com
domain_suffix,facebooik.org
domain_suffix,facebooj.com
domain_suffix,facebook-corp.com
domain_suffix,facebook-covid-19.com
domain_suffix,facebook-ebook.com
domain_suffix,facebook-forum.com
domain_suffix,facebook-hardware.com
domain_suffix,facebook-inc.com
domain_suffix,facebook-login.com
domain_suffix,facebook-newsroom.com
domain_suffix,facebook-newsroom.org
domain_suffix,facebook-pmdcenter.com
domain_suffix,facebook-pmdcenter.net
domain_suffix,facebook-pmdcenter.org
domain_suffix,facebook-privacy.com
domain_suffix,facebook-program.com
domain_suffix,facebook-studio.com
domain_suffix,facebook-support.org
domain_suffix,facebook-texas-holdem.com
domain_suffix,facebook-texas-holdem.net
domain_suffix,facebook.br
domain_suffix,facebook.ca
domain_suffix,facebook.cc
domain_suffix,facebook.com
domain_suffix,facebook.design
domain_suffix,facebook.net
domain_suffix,facebook.hu
domain_suffix,facebook.in
domain_suffix,fecebook.net
domain_suffix,facebook.nl
domain_suffix,facebook.org
domain_suffix,facebook.se
domain_suffix,facebook.shop
domain_suffix,facebook.tv
domain_suffix,facebook.us
domain_suffix,facebook.wang
domain_suffix,facebook123.org
domain_suffix,facebook30.com
domain_suffix,facebook30.net
domain_suffix,facebook30.org
domain_suffix,facebook4business.com
domain_suffix,facebookadvertisingsecrets.com
domain_suffix,facebookatschool.com
domain_suffix,facebookawards.com
domain_suffix,facebookblueprint.net
domain_suffix,facebookbrand.com
domain_suffix,facebookbrand.net
domain_suffix,facebookcanadianelectionintegrityinitiative.com
domain_suffix,facebookcareer.com
domain_suffix,facebookcheats.com
domain_suffix,facebookck.com
domain_suffix,facebookclub.com
domain_suffix,facebookcom.com
domain_suffix,facebookconsultant.org
domain_suffix,facebookcoronavirus.com
domain_suffix,facebookcovers.org
domain_suffix,facebookcredits.info
domain_suffix,facebookdating.net
domain_suffix,facebookdusexe.org
domain_suffix,facebookemail.com
domain_suffix,facebookenespanol.com
domain_suffix,facebookexchange.com
domain_suffix,facebookexchange.net
domain_suffix,facebookfacebook.com
domain_suffix,facebookflow.com
domain_suffix,facebookgames.com
domain_suffix,facebookgraphsearch.com
domain_suffix,facebookgraphsearch.info
domain_suffix,facebookgroups.com
domain_suffix,facebookhome.cc
domain_suffix,facebookhome.com
domain_suffix,facebookhome.info
domain_suffix,facebookhub.com
domain_suffix,facebooki.com
domain_suffix,facebookinc.com
domain_suffix,facebookland.com
domain_suffix,facebooklikeexchange.com
domain_suffix,facebooklive.com
domain_suffix,facebooklivestaging.net
domain_suffix,facebooklivestaging.org
domain_suffix,facebooklogin.com
domain_suffix,facebooklogin.info
domain_suffix,facebookloginhelp.net
domain_suffix,facebooklogs.com
domain_suffix,facebookmail.com
domain_suffix,facebookmail.tv
domain_suffix,facebookmanager.info
domain_suffix,facebookmarketing.info
domain_suffix,facebookmarketingpartner.com
domain_suffix,facebookmarketingpartners.com
domain_suffix,facebookmobile.com
domain_suffix,facebookmsn.com
domain_suffix,facebooknews.com
domain_suffix,facebooknfl.com
domain_suffix,facebooknude.com
domain_suffix,facebookofsex.com
domain_suffix,facebookook.com
domain_suffix,facebookpaper.com
domain_suffix,facebookpay.com
domain_suffix,facebookphonenumber.net
domain_suffix,facebookphoto.com
domain_suffix,facebookphotos.com
domain_suffix,facebookpmdcenter.com
domain_suffix,facebookpoke.net
domain_suffix,facebookpoke.org
domain_suffix,facebookpoker.info
domain_suffix,facebookpokerchips.info
domain_suffix,facebookporn.net
domain_suffix,facebookporn.org
domain_suffix,facebookporno.net
domain_suffix,facebookportal.com
domain_suffix,facebooks.com
domain_suffix,facebooksafety.com
domain_suffix,facebooksecurity.net
domain_suffix,facebookshop.com
domain_suffix,facebooksignup.net
domain_suffix,facebooksite.net
domain_suffix,facebookstories.com
domain_suffix,facebookstudios.net
domain_suffix,facebookstudios.org
domain_suffix,facebooksupplier.com
domain_suffix,facebooksuppliers.com
domain_suffix,facebookswagemea.com
domain_suffix,facebookswagstore.com
domain_suffix,facebooksz.com
domain_suffix,facebookthreads.net
domain_suffix,facebooktv.net
domain_suffix,facebooktv.org
domain_suffix,facebookvacation.com
domain_suffix,facebookw.com
domain_suffix,facebookworld.com
domain_suffix,facebool.com
domain_suffix,facebool.info
domain_suffix,facebooll.com
domain_suffix,faceboom.com
domain_suffix,faceboon.com
domain_suffix,faceboonk.com
domain_suffix,faceboooik.com
domain_suffix,faceboook.com
domain_suffix,faceboop.com
domain_suffix,faceboot.com
domain_suffix,faceboox.com
domain_suffix,facebopk.com
domain_suffix,facebpook.com
domain_suffix,facebuk.com
domain_suffix,facebuok.com
domain_suffix,facebvook.com
domain_suffix,facebyook.com
domain_suffix,facebzook.com
domain_suffix,facecbgook.com
domain_suffix,facecbook.com
domain_suffix,facecbook.org
domain_suffix,facecook.com
domain_suffix,facecook.org
domain_suffix,facedbook.com
domain_suffix,faceebok.com
domain_suffix,faceebook.com
domain_suffix,faceebot.com
domain_suffix,facegbok.com
domain_suffix,facegbook.com
domain_suffix,faceobk.com
domain_suffix,faceobok.com
domain_suffix,faceobook.com
domain_suffix,faceook.com
domain_suffix,facerbooik.com
domain_suffix,facerbook.com
domain_suffix,facesbooc.com
domain_suffix,facesounds.com
domain_suffix,facetook.com
domain_suffix,facevbook.com
domain_suffix,facewbook.co
domain_suffix,facewook.com
domain_suffix,facfacebook.com
domain_suffix,facfebook.com
domain_suffix,fackebook.com
domain_suffix,facnbook.com
domain_suffix,facrbook.com
domain_suffix,facvebook.com
domain_suffix,facwebook.com
domain_suffix,facxebook.com
domain_suffix,fadebook.com
domain_suffix,faebok.com
domain_suffix,faebook.com
domain_suffix,faebookc.com
domain_suffix,faeboook.com
domain_suffix,faecebok.com
domain_suffix,faesebook.com
domain_suffix,fafacebook.com
domain_suffix,faicbooc.com
domain_suffix,fasebokk.com
domain_suffix,fasebook.com
domain_suffix,faseboox.com
domain_suffix,favebook.com
domain_suffix,faycbok.com
domain_suffix,fb.careers
domain_suffix,fb.com
domain_suffix,fb.gg
domain_suffix,fb.me
domain_suffix,fb.watch
domain_suffix,fbacebook.com
domain_suffix,fbbmarket.com
domain_suffix,fbboostyourbusiness.com
domain_suffix,fbcdn.com
domain_suffix,fbcdn.net
domain_suffix,fbfeedback.com
domain_suffix,fbhome.com
domain_suffix,fbidb.io
domain_suffix,fbinc.com
domain_suffix,fbinnovation.com
domain_suffix,fbmarketing.com
domain_suffix,fbreg.com
domain_suffix,fbrpms.com
domain_suffix,fbsbx.com
domain_suffix,fbsbx.net
domain_suffix,fbsupport-covid.net
domain_suffix,fbthirdpartypixel.com
domain_suffix,fbthirdpartypixel.net
domain_suffix,fbthirdpartypixel.org
domain_suffix,fburl.com
domain_suffix,fbwat.ch
domain_suffix,fbworkmail.com
domain_suffix,fcacebook.com
domain_suffix,fcaebook.com
domain_suffix,fcebook.com
domain_suffix,fcebookk.com
domain_suffix,fcfacebook.com
domain_suffix,fdacebook.info
domain_suffix,feacboo.com
domain_suffix,feacbook.com
domain_suffix,feacbooke.com
domain_suffix,feacebook.com
domain_suffix,fecbbok.com
domain_suffix,fecbooc.com
domain_suffix,fecbook.com
domain_suffix,feceboock.com
domain_suffix,feceboox.com
domain_suffix,fececbook.com
domain_suffix,feook.com
domain_suffix,ferabook.com
domain_suffix,fescebook.com
domain_suffix,fesebook.com
domain_suffix,ffacebook.com
domain_suffix,fgacebook.com
domain_suffix,ficeboock.com
domain_suffix,fmcebook.com
domain_suffix,fnacebook.com
domain_suffix,fosebook.com
domain_suffix,fpacebook.com
domain_suffix,fqcebook.com
domain_suffix,fracebook.com
domain_suffix,freeb.com
domain_suffix,freebasics.com
domain_suffix,freebasics.net
domain_suffix,freebs.com
domain_suffix,freefacebook.com
domain_suffix,freefacebook.net
domain_suffix,freefacebookads.net
domain_suffix,freefblikes.com
domain_suffix,freindfeed.com
domain_suffix,friendbook.info
domain_suffix,friendfed.com
domain_suffix,friendfeed-api.com
domain_suffix,friendfeed-media.com
domain_suffix,friendfeed.com
domain_suffix,friendfeedmedia.com
domain_suffix,fsacebok.com
domain_suffix,fscebook.com
domain_suffix,fundraisingwithfacebook.com
domain_suffix,funnyfacebook.org
domain_suffix,futureofbusinesssurvey.org
domain_suffix,gacebook.com
domain_suffix,gameroom.com
domain_suffix,gfacecbook.com
domain_suffix,groups.com
domain_suffix,hackerfacebook.com
domain_suffix,hackfacebook.com
domain_suffix,hackfacebookid.com
domain_suffix,hifacebook.info
domain_suffix,howtohackfacebook-account.com
domain_suffix,hsfacebook.com
domain_suffix,httpfacebook.com
domain_suffix,httpsfacebook.com
domain_suffix,httpwwwfacebook.com
domain_suffix,i.org
domain_suffix,internet.org
domain_suffix,klik.me
domain_suffix,liverail.com
domain_suffix,liverail.tv
domain_suffix,login-account.net
domain_suffix,markzuckerberg.com
domain_suffix,midentsolutions.com
domain_suffix,mobilefacebook.com
domain_suffix,moneywithfacebook.com
domain_suffix,myfbfans.com
domain_suffix,newsfeed.com
domain_suffix,nextstop.com
domain_suffix,online-deals.net
domain_suffix,opencreate.org
domain_suffix,reachtheworldonfacebook.com
domain_suffix,rocksdb.org
domain_suffix,shopfacebook.com
domain_suffix,sportsfacebook.com
domain_suffix,sportstream.com
domain_suffix,supportfacebook.com
domain_suffix,terragraph.com
domain_suffix,thefacebook.com
domain_suffix,thefacebook.net
domain_suffix,thefind.com
domain_suffix,toplayerserver.com
domain_suffix,viewpointsfromfacebook.com
domain_suffix,whyfacebook.com
domain_suffix,worldhack.com
domain_suffix,www-facebook.com
domain_suffix,wwwfacebok.com
domain_suffix,wwwfacebook.com
domain_suffix,wwwmfacebook.com
domain_suffix,zuckerberg.com
domain_suffix,zuckerberg.net
domain_suffix,facebookwork.com
domain_suffix,redkix.com
domain_suffix,workplace.com
domain_suffix,workplaceusecases.com
domain_suffix,fbcdn-a.akamaihd.net
