rule type,value
domain_suffix,firebase.com
domain_suffix,firebase.io
domain_suffix,firebaseapp.com
domain_suffix,firebaseio.com
domain_suffix,firebase.google.com
domain_suffix,firebase.googleapis.com
domain_suffix,firebaseappcheck.googleapis.com
domain_suffix,firebasedynamiclinks-ipv4.googleapis.com
domain_suffix,firebasedynamiclinks-ipv6.googleapis.com
domain_suffix,firebasedynamiclinks.googleapis.com
domain_suffix,firebaseinappmessaging.googleapis.com
domain_suffix,firebaseinstallations.googleapis.com
domain_suffix,firebaselogging-pa.googleapis.com
domain_suffix,firebaselogging.googleapis.com
domain_suffix,firebaseperusertopics-pa.googleapis.com
domain_suffix,firebaseremoteconfig.googleapis.com
