rule type,value
domain_suffix,0.zone
domain_suffix,00.net
domain_suffix,000.link
domain_suffix,000000.net
domain_suffix,0000001.xin
domain_suffix,0000550xtz2.shop
domain_suffix,0000552bb0.shop
domain_suffix,0000552bb1.shop
domain_suffix,0000552bb2.shop
domain_suffix,0000552bb3.shop
domain_suffix,0000552bb4.shop
domain_suffix,0000f0deb5f4e6c3.com
domain_suffix,0000wb.com
domain_suffix,0001.xin
domain_suffix,000114.com
domain_suffix,00012023.com
domain_suffix,0002.xin
domain_suffix,0003399xtz1.shop
domain_suffix,0003399xtz2.shop
domain_suffix,00042.com
domain_suffix,00058.com
domain_suffix,0006111xtz2.shop
domain_suffix,0006266.com
domain_suffix,00063.xin
domain_suffix,000678.xin
domain_suffix,0006fc9541020.beer
domain_suffix,000700.com
domain_suffix,000714.xyz
domain_suffix,000793.com
domain_suffix,0007999ab0.shop
domain_suffix,0007999ab1.shop
domain_suffix,0007999ab2.shop
domain_suffix,0007999ab3.shop
domain_suffix,0007999ab4.shop
domain_suffix,0007999ab5.shop
domain_suffix,0007999ab6.shop
domain_suffix,0007999ab7.shop
domain_suffix,0007999ab8.shop
domain_suffix,0007999ab9.shop
domain_suffix,0008.xin
domain_suffix,00086.net
domain_suffix,000868adh1.shop
domain_suffix,000868agl1.shop
domain_suffix,000868atz2.shop
domain_suffix,0009.xin
domain_suffix,00091.xin
domain_suffix,000b0fb9410281.beer
domain_suffix,000pc.net
domain_suffix,001.com
domain_suffix,001060.com
domain_suffix,00117163.xyz
domain_suffix,001d628661009.beer
domain_suffix,001daima.com
domain_suffix,001jm.com
domain_suffix,001job.com
domain_suffix,001jp.com
domain_suffix,001kd.com
domain_suffix,001km.com
domain_suffix,001pp.com
domain_suffix,001pt.com
domain_suffix,001sj.net
domain_suffix,001tudou.com
domain_suffix,001u.com
domain_suffix,001wifi.com
domain_suffix,001win5.cc
domain_suffix,002.xin
domain_suffix,002049.com
domain_suffix,00257.com
domain_suffix,002574.com
domain_suffix,0028.xin
domain_suffix,0033.com
domain_suffix,00333118.com
domain_suffix,0037wan.com
domain_suffix,00394.net
domain_suffix,004.xin
domain_suffix,0044696.com
domain_suffix,004678.com
domain_suffix,004837963.xyz
domain_suffix,0049.com
domain_suffix,0056.com
domain_suffix,00563.com
domain_suffix,0058.com
domain_suffix,0066.com
domain_suffix,00665ba1f014ee0e.com
domain_suffix,007.pub
domain_suffix,0073.com
domain_suffix,00772229.com
domain_suffix,00791.com
