rule type,value
domain,deepmind.com
domain,deepmind.google
domain,geller-pa.googleapis.com
domain,generativelanguage.googleapis.com
domain,proactivebackend-pa.googleapis.com
domain,robinfrontend-pa.googleapis.com
domain,ai.google.dev
domain,alkalicore-pa.clients6.google.com
domain,alkalimakersuite-pa.clients6.google.com
domain,webchannel-alkalimakersuite-pa.clients6.google.com
domain,generativeai.google
domain,makersuite.google.com
domain,ai.studio
domain,aistudio.google.com
domain,bard.google.com
domain,gemini.google
domain,gemini.google.com
domain,cloudaicompanion.googleapis.com
domain,cloudcode-pa.googleapis.com
domain,daily-cloudcode-pa.googleapis.com
domain,notebooklm-pa.googleapis.com
domain,notebooklm.googleapis.com
domain,notebooklm.google
domain,notebooklm.google.com
domain,jules.google
domain,jules.google.com
domain,labs.google
domain,labs.google.com
domain,aisandbox-pa.googleapis.com
domain,aida.googleapis.com
domain,opal.google
domain,opal.google.com
domain,antigravity-pa.googleapis.com
domain,antigravity.googleapis.com
domain,antigravity.google
domain,antigravity-unleash.goog
