rule type,value
domain,scholar.google.ae
domain,scholar.google.at
domain,scholar.google.be
domain,scholar.google.bg
domain,scholar.google.ca
domain,scholar.google.cat
domain,scholar.google.ch
domain,scholar.google.cl
domain,scholar.google.cn
domain,scholar.google.co.cr
domain,scholar.google.co.id
domain,scholar.google.co.il
domain,scholar.google.co.in
domain,scholar.google.co.jp
domain,scholar.google.co.kr
domain,scholar.google.co.nz
domain,scholar.google.co.th
domain,scholar.google.co.uk
domain,scholar.google.co.ve
domain,scholar.google.co.za
domain,scholar.google.com
domain,scholar.google.com.ar
domain,scholar.google.com.au
domain,scholar.google.com.bo
domain,scholar.google.com.br
domain,scholar.google.com.co
domain,scholar.google.com.cu
domain,scholar.google.com.do
domain,scholar.google.com.ec
domain,scholar.google.com.eg
domain,scholar.google.com.gt
domain,scholar.google.com.hk
domain,scholar.google.com.ly
domain,scholar.google.com.mx
domain,scholar.google.com.my
domain,scholar.google.com.ni
domain,scholar.google.com.pa
domain,scholar.google.com.pe
domain,scholar.google.com.ph
domain,scholar.google.com.pk
domain,scholar.google.com.pr
domain,scholar.google.com.py
domain,scholar.google.com.sg
domain,scholar.google.com.sv
domain,scholar.google.com.tr
domain,scholar.google.com.tw
domain,scholar.google.com.ua
domain,scholar.google.com.uy
domain,scholar.google.com.vn
domain,scholar.google.cz
domain,scholar.google.de
domain,scholar.google.dk
domain,scholar.google.es
domain,scholar.google.fi
domain,scholar.google.fr
domain,scholar.google.gr
domain,scholar.google.hn
domain,scholar.google.hr
domain,scholar.google.hu
domain,scholar.google.is
domain,scholar.google.it
domain,scholar.google.li
domain,scholar.google.lt
domain,scholar.google.lu
domain,scholar.google.lv
domain,scholar.google.nl
domain,scholar.google.no
domain,scholar.google.pl
domain,scholar.google.pt
domain,scholar.google.ro
domain,scholar.google.ru
domain,scholar.google.se
domain,scholar.google.si
domain,scholar.google.sk
domain,scholar.googleusercontent.com
domain,scholar.l.google.com
