rule type,value
domain_suffix,chrome
domain_suffix,dclk
domain_suffix,gbiz
domain_suffix,gle
domain_suffix,gmail
domain_suffix,goo
domain_suffix,goog
domain_suffix,google
domain_suffix,guge
domain_suffix,hangout
domain_suffix,nexus
domain_suffix,xn--flw351e
domain_suffix,xn--qcka1pmc
domain_suffix,google.ad
domain_suffix,google.ae
domain_suffix,google.al
domain_suffix,google.am
domain_suffix,google.as
domain_suffix,google.at
domain_suffix,google.az
domain_suffix,google.ba
domain_suffix,google.be
domain_suffix,google.bf
domain_suffix,google.bg
domain_suffix,google.bi
domain_suffix,google.bj
domain_suffix,google.bs
domain_suffix,google.bt
domain_suffix,google.by
domain_suffix,google.ca
domain_suffix,google.cat
domain_suffix,google.cd
domain_suffix,google.cf
domain_suffix,google.cg
domain_suffix,google.ch
domain_suffix,google.ci
domain_suffix,google.cl
domain_suffix,google.cm
domain_suffix,google.co
domain_suffix,google.co.ao
domain_suffix,google.co.bw
domain_suffix,google.co.ck
domain_suffix,google.co.cr
domain_suffix,google.co.id
domain_suffix,google.co.il
domain_suffix,google.co.in
domain_suffix,google.co.jp
domain_suffix,google.co.ke
domain_suffix,google.co.kr
domain_suffix,google.co.ls
domain_suffix,google.co.ma
domain_suffix,google.co.mz
domain_suffix,google.co.nz
domain_suffix,google.co.th
domain_suffix,google.co.tz
domain_suffix,google.co.ug
domain_suffix,google.co.uk
domain_suffix,google.co.uz
domain_suffix,google.co.ve
domain_suffix,google.co.vi
domain_suffix,google.co.za
domain_suffix,google.co.zm
domain_suffix,google.co.zw
domain_suffix,google.com
domain_suffix,google.com.af
domain_suffix,google.com.ag
domain_suffix,google.com.ai
domain_suffix,google.com.ar
domain_suffix,google.com.au
domain_suffix,google.com.bd
domain_suffix,google.com.bh
domain_suffix,google.com.bn
domain_suffix,google.com.bo
domain_suffix,google.com.br
domain_suffix,google.com.bz
domain_suffix,google.com.co
domain_suffix,google.com.cu
domain_suffix,google.com.cy
domain_suffix,google.com.do
domain_suffix,google.com.ec
domain_suffix,google.com.eg
domain_suffix,google.com.et
domain_suffix,google.com.fj
domain_suffix,google.com.gh
domain_suffix,google.com.gi
domain_suffix,google.com.gt
domain_suffix,google.com.hk
domain_suffix,google.com.jm
domain_suffix,google.com.kh
domain_suffix,google.com.kw
domain_suffix,google.com.lb
domain_suffix,google.com.ly
domain_suffix,google.com.mm
domain_suffix,google.com.mt
domain_suffix,google.com.mx
domain_suffix,google.com.my
domain_suffix,google.com.na
domain_suffix,google.com.ng
domain_suffix,google.com.ni
domain_suffix,google.com.np
domain_suffix,google.com.om
domain_suffix,google.com.pa
domain_suffix,google.com.pe
domain_suffix,google.com.pg
domain_suffix,google.com.ph
domain_suffix,google.com.pk
domain_suffix,google.com.pr
domain_suffix,google.com.py
domain_suffix,google.com.qa
domain_suffix,google.com.sa
domain_suffix,google.com.sb
domain_suffix,google.com.sg
domain_suffix,google.com.sl
domain_suffix,google.com.sv
domain_suffix,google.com.tj
domain_suffix,google.com.tr
domain_suffix,google.com.tw
domain_suffix,google.com.ua
domain_suffix,google.com.uy
domain_suffix,google.com.vc
domain_suffix,google.com.vn
domain_suffix,google.cv
domain_suffix,google.cz
domain_suffix,google.de
domain_suffix,google.dj
domain_suffix,google.dk
domain_suffix,google.dm
domain_suffix,google.dz
domain_suffix,google.ee
domain_suffix,google.es
domain_suffix,google.fi
domain_suffix,google.fm
domain_suffix,google.fr
domain_suffix,google.ga
domain_suffix,google.ge
domain_suffix,google.gg
domain_suffix,google.gl
domain_suffix,google.gm
domain_suffix,google.gr
domain_suffix,google.gy
domain_suffix,google.hn
domain_suffix,google.hr
domain_suffix,google.ht
domain_suffix,google.hu
domain_suffix,google.ie
domain_suffix,google.im
domain_suffix,google.iq
domain_suffix,google.is
domain_suffix,google.it
domain_suffix,google.je
domain_suffix,google.jo
domain_suffix,google.kg
domain_suffix,google.ki
domain_suffix,google.kz
domain_suffix,google.la
domain_suffix,google.li
domain_suffix,google.lk
domain_suffix,google.lt
domain_suffix,google.lu
domain_suffix,google.lv
domain_suffix,google.md
domain_suffix,google.me
domain_suffix,google.mg
domain_suffix,google.mk
domain_suffix,google.ml
domain_suffix,google.mn
domain_suffix,google.ms
domain_suffix,google.mu
domain_suffix,google.mv
domain_suffix,google.mw
domain_suffix,google.ne
domain_suffix,google.nl
domain_suffix,google.no
domain_suffix,google.nr
domain_suffix,google.nu
domain_suffix,google.pl
domain_suffix,google.pn
