rule type,value
domain_suffix,achat-followers-instagram.com
domain_suffix,acheter-followers-instagram.com
domain_suffix,acheterdesfollowersinstagram.com
domain_suffix,acheterfollowersinstagram.com
domain_suffix,bookstagram.com
domain_suffix,carstagram.com
domain_suffix,cdninstagram.com
domain_suffix,chickstagram.com
domain_suffix,ig.me
domain_suffix,igcdn.com
domain_suffix,igsonar.com
domain_suffix,igtv.com
domain_suffix,imstagram.com
domain_suffix,imtagram.com
domain_suffix,instaadder.com
domain_suffix,instachecker.com
domain_suffix,instafallow.com
domain_suffix,instafollower.com
domain_suffix,instagainer.com
domain_suffix,instagda.com
domain_suffix,instagify.com
domain_suffix,instagmania.com
domain_suffix,instagor.com
domain_suffix,instagram-brand.com
domain_suffix,instagram-engineering.com
domain_suffix,instagram-help.com
domain_suffix,instagram-press.com
domain_suffix,instagram-press.net
domain_suffix,instagram.com
domain_suffix,instagramci.com
domain_suffix,instagramcn.com
domain_suffix,instagramdi.com
domain_suffix,instagramhashtags.net
domain_suffix,instagramhilecim.com
domain_suffix,instagramhilesi.org
domain_suffix,instagramium.com
domain_suffix,instagramizlenme.com
domain_suffix,instagramkusu.com
domain_suffix,instagramlogin.com
domain_suffix,instagramm.com
domain_suffix,instagramn.com
domain_suffix,instagrampartners.com
domain_suffix,instagramphoto.com
domain_suffix,instagramq.com
domain_suffix,instagramsepeti.com
domain_suffix,instagramtakipcisatinal.net
domain_suffix,instagramtakiphilesi.com
domain_suffix,instagramtips.com
domain_suffix,instagramtr.com
domain_suffix,instagran.com
domain_suffix,instagranm.com
domain_suffix,instagrem.com
domain_suffix,instagrm.com
domain_suffix,instagtram.com
domain_suffix,instagy.com
domain_suffix,instamgram.com
domain_suffix,instangram.com
domain_suffix,instanttelegram.com
domain_suffix,instaplayer.net
domain_suffix,instastyle.tv
domain_suffix,instgram.com
domain_suffix,intagram.com
domain_suffix,intagrm.com
domain_suffix,intgram.com
domain_suffix,kingstagram.com
domain_suffix,lnstagram-help.com
domain_suffix,theinstagramhack.com
domain_suffix,oninstagram.com
domain_suffix,online-instagram.com
domain_suffix,onlineinstagram.com
domain_suffix,web-instagram.net
domain_suffix,wwwinstagram.com
