rule type,value
domain_suffix,binoculus.com
domain_suffix,buyoculus.com
domain_suffix,ocul.us
domain_suffix,oculus-china.com
domain_suffix,oculus.com
domain_suffix,oculus2014.com
domain_suffix,oculus3d.com
domain_suffix,oculusblog.com
domain_suffix,oculusbrand.com
domain_suffix,oculuscasino.net
domain_suffix,oculuscdn.com
domain_suffix,oculusconnect.com
domain_suffix,oculusdiving.com
domain_suffix,oculusforbusiness.com
domain_suffix,oculusrift.com
domain_suffix,oculusvr.com
domain_suffix,powersunitedvr.com
