rule type,value
domain_suffix,pin.it
domain_suffix,pinimg.com
domain_suffix,pinterest.at
domain_suffix,pinterest.be
domain_suffix,pinterest.ca
domain_suffix,pinterest.ch
domain_suffix,pinterest.cl
domain_suffix,pinterest.co
domain_suffix,pinterest.co.at
domain_suffix,pinterest.co.in
domain_suffix,pinterest.co.kr
domain_suffix,pinterest.co.nz
domain_suffix,pinterest.co.uk
domain_suffix,pinterest.com
domain_suffix,pinterest.com.au
domain_suffix,pinterest.com.bo
domain_suffix,pinterest.com.ec
domain_suffix,pinterest.com.mx
domain_suffix,pinterest.com.pe
domain_suffix,pinterest.com.py
domain_suffix,pinterest.com.uy
domain_suffix,pinterest.com.vn
domain_suffix,pinterest.de
domain_suffix,pinterest.dk
domain_suffix,pinterest.ec
domain_suffix,pinterest.engineering
domain_suffix,pinterest.es
domain_suffix,pinterest.fr
domain_suffix,pinterest.hu
domain_suffix,pinterest.id
domain_suffix,pinterest.ie
domain_suffix,pinterest.in
domain_suffix,pinterest.info
domain_suffix,pinterest.it
domain_suffix,pinterest.jp
domain_suffix,pinterest.kr
domain_suffix,pinterest.mx
domain_suffix,pinterest.net
domain_suffix,pinterest.nl
domain_suffix,pinterest.nz
domain_suffix,pinterest.pe
domain_suffix,pinterest.ph
domain_suffix,pinterest.pt
domain_suffix,pinterest.ru
domain_suffix,pinterest.se
domain_suffix,pinterest.th
domain_suffix,pinterest.tw
domain_suffix,pinterest.uk
domain_suffix,pinterest.vn
domain_suffix,pinterestmail.com
domain_suffix,pinimg.com.cdn.cloudflare.net
domain_suffix,pinterest.map.fastly.net
