rule type,value
domain_suffix,cdn-telegram.org
domain_suffix,comments.app
domain_suffix,contest.com
domain_suffix,fragment.com
domain_suffix,graph.org
domain_suffix,quiz.directory
domain_suffix,t.me
domain_suffix,tdesktop.com
domain_suffix,telega.one
domain_suffix,telegra.ph
domain_suffix,telegram-cdn.org
domain_suffix,telegram.dog
domain_suffix,telegram.me
domain_suffix,telegram.org
domain_suffix,telegram.space
domain_suffix,telesco.pe
domain_suffix,tg.dev
domain_suffix,tx.me
domain_suffix,usercontent.dev
