rule type,value
domain_suffix,bytedapm.com
domain_suffix,byteoversea.com
domain_suffix,muscdn.com
domain_suffix,musical.ly
domain_suffix,tik-tokapi.com
domain_suffix,tiktok-minis.com
domain_suffix,tiktok-row.net
domain_suffix,tiktok.com
domain_suffix,tiktokcdn-eu.com
domain_suffix,tiktokcdn-us.com
domain_suffix,tiktokcdn.com
domain_suffix,tiktokd.net
domain_suffix,tiktokd.org
domain_suffix,tiktokeu-cdn.com
domain_suffix,tiktokglobalshopv.com
domain_suffix,tiktokminis.us
domain_suffix,tiktokrow-cdn.com
domain_suffix,tiktokv.com
domain_suffix,tiktokv.eu
domain_suffix,tiktokv.us
domain_suffix,tiktokw.eu
domain_suffix,tiktokw.us
domain_suffix,ttlivecdn.com
domain_suffix,ttoverseaus.net
domain_suffix,ttwstatic.com
domain_suffix,tiktokcdn-us.com.edgesuite.net
domain_suffix,tiktokcdn.com.akamaized.net
domain_suffix,tiktokcdn.com.edgesuite.net
domain_suffix,tiktokv.com.edgekey.net
domain_suffix,tiktokv.com.edgesuite.net
domain_suffix,p16-tiktokcdn-com.akamaized.net
domain_suffix,roovza-launches.appsflyersdk.com
domain_suffix,roovza.inapps.appsflyersdk.com
domain_suffix,roovza.launches.appsflyersdk.com
domain_suffix,roovza.skadsdk.appsflyersdk.com
