rule type,value
domain_suffix,cms-twdigitalassets.com
domain_suffix,periscope.tv
domain_suffix,pscp.tv
domain_suffix,t.co
domain_suffix,tellapart.com
domain_suffix,tweetdeck.com
domain_suffix,twimg.com
domain_suffix,twitpic.com
domain_suffix,twitter.biz
domain_suffix,twitter.com
domain_suffix,twitter.jp
domain_suffix,twitter.map.fastly.net
domain_suffix,twittercommunity.com
domain_suffix,twitterflightschool.com
domain_suffix,twitterinc.com
domain_suffix,twitteroauth.com
domain_suffix,twitterstat.us
domain_suffix,twtrdns.net
domain_suffix,twttr.com
domain_suffix,twttr.net
domain_suffix,twvid.com
domain_suffix,vine.co
domain_suffix,x.com
